# Pathway	W10	W100	W105	W111	W113	W117	W12	W123	W128	W139	W149	W154	W157	W16	W164	W169	W173	W183	W189	W193	W196	W209	W21	W215	W226	W231	W234	W250	W26	W28	W32	W38	W4	W43	W48	W53	W64	W69	W74	W79	W85	W89	W91
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	2352.5599266732	4960.8659889858	2231.5292372814	1760.1049978277	3605.4633121878	1925.1485743130	2126.2866687023	2285.7396097194	2317.6024011305	1579.9912240519	2194.5160432355	1910.7034620500	2134.4441728279	1832.8337072856	2325.7332832527	3130.4809556304	2654.5318153888	2338.9190890705	2580.3688767475	1948.2446574548	2347.8910637409	4733.9259352413	1841.4201133953	1606.7910620996	1681.4784963329	1398.2604396172	1434.0527175175	1358.7456382057	1784.9625433514	2431.1916949760	2873.7692272521	3781.5215287748	1985.1793975601	1752.1213996620	2739.9376755873	1802.2909110067	2621.2974600152	2558.2228636460	3250.3355908775	1476.9903541202	2105.7639477278	1176.3329235367	1787.7847999785
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Acidovorax.s__Acidovorax_ebreus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.0346591021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Acinetobacter.s__Acinetobacter_lwoffii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4285930089	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Acinetobacter.s__Acinetobacter_tandoii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2708135970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Albidiferax.s__Albidiferax_ferrireducens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.3620926164	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Clostridium.s__Clostridium_saccharoperbutylacetonicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.7447957453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Mesorhizobium.s__Mesorhizobium_loti	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6949662271	0	10.5164359350	0	0	0	0	0	0	0	0	0	0	6.8158031657	0	0	0	0	0	0	0	0	0	0	0	0	0	8.6368367532	0	17.2213368845
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Thiobacillus.s__Thiobacillus_denitrificans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.7537640611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|unclassified	2310.4100754819	4658.1532146453	2206.7682114349	1760.0473224505	3570.4292832249	1909.6560220272	2064.4375234813	2273.6155615263	2292.8084240546	1576.1153547118	2190.8902461501	1897.5201569807	2080.1836626285	1798.8635512040	2262.4814222363	2947.0280236751	2564.8073035236	2303.3535119361	2535.7892906492	1938.2021108639	2316.2592670156	4724.6319464238	1839.5350032098	1604.5739274582	1674.0311054640	1396.9321289016	1419.4040613082	1335.3613656797	1782.0977193473	2302.3928879975	2730.0871643707	3745.7207339518	1891.4785080158	1719.7516052843	2637.2757489992	1693.5334854942	2596.5553138187	2506.9512706736	3199.6718809355	1462.4569068050	2068.1030443723	1174.4665600713	1732.1386766747
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	91.2709416301	170.4222041476	137.1565950028	90.7412910897	154.2793364425	85.5846849028	124.9491904090	66.9701365074	129.7701388233	49.2664460183	140.4223566139	49.6101934202	48.8143219191	75.2130701689	112.3619531777	161.8215241529	92.8566554539	71.7263953490	115.6154893347	94.6502677878	91.3688263638	208.5062627053	92.0233007551	93.8414627303	57.0126666553	55.6319767039	80.9012869806	57.9249574370	112.3428662991	91.5611982261	156.5091382889	104.5091997610	37.0220467113	85.1556111357	114.2006401231	30.9252455053	145.0789138162	93.4104741892	245.0331833165	77.1098613040	113.6597509459	67.9130400535	98.3764534326
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation|unclassified	91.2709416301	170.4222041476	137.0482761511	90.7412910897	154.2373771607	85.5846849028	124.7652051033	66.9701365074	129.7701388233	49.2609319210	140.4209267932	49.6101934202	48.8110316677	75.1901046663	112.3446237525	156.9666781077	92.8462664886	71.7263953490	115.6154893347	94.6502677878	91.3688263638	208.5040268969	92.0233007551	93.8402680225	57.0126666553	55.6319767039	80.8999538672	57.1420428489	112.3428662991	91.5611982261	156.4195700110	104.5091997610	37.0220467113	85.1521957882	114.2006401231	30.8083695422	145.0621718714	92.6948329380	244.6272362875	76.9967788924	113.4155084810	67.9069984803	98.3716543238
4-HYDROXYMANDELATE-DEGRADATION-PWY: 4-hydroxymandelate degradation	15.9244091784	30.5267853763	26.7767579547	17.6682344282	36.5970568903	21.4684930210	19.5454145423	10.5454383426	15.3521576218	5.4526474305	23.2548581321	13.0629179974	4.8854198289	14.8307863154	13.4897141552	31.2078735968	27.9012081805	8.2747119802	12.3339474878	12.1880625705	13.9426798950	32.6761211201	18.7989136780	13.5989140641	10.5889862285	15.0675486837	7.9357588990	11.5017926001	9.8582604897	16.5869663598	22.0578560156	18.5069381331	2.3158098575	10.2801460217	17.0550383595	3.8397432228	16.9777070841	10.8104769286	23.4821346256	18.6979926302	45.4263525553	12.8071904490	28.1385141466
4-HYDROXYMANDELATE-DEGRADATION-PWY: 4-hydroxymandelate degradation|unclassified	15.9234737836	30.5267853763	26.7744199550	17.6682344282	36.5949952142	21.4684930210	19.5454145423	10.5454383426	15.3521576218	5.4526474305	23.2548581321	13.0619267278	4.8853222873	14.8307863154	13.4895854406	31.1789976189	27.9012081805	8.2747119802	12.3339474878	12.1880625705	13.9426798950	32.6753469645	18.7982504348	13.5988169412	10.5889254017	15.0675486837	7.9355668818	11.5016691977	9.8582604897	16.5869663598	22.0546303735	18.4981584670	2.3158098575	10.2798592028	17.0532072522	3.8397432228	16.9774886360	10.8104769286	23.4819766737	18.6977943845	45.4248367292	12.8061234387	28.1360536343
7ALPHADEHYDROX-PWY: cholate degradation (bacteria, anaerobic)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6738661847	0	0	0	0	0	0	0	0	0	0	0
7ALPHADEHYDROX-PWY: cholate degradation (bacteria, anaerobic)|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6738661847	0	0	0	0	0	0	0	0	0	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis	0	0.9446710987	1.3993281619	0	1.2734163576	0	0	0	0.3025217188	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0963418382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4442688103	0.3225531133	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis|unclassified	0	0.9446710987	1.3993281619	0	1.2734163576	0	0	0	0.3025217188	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0963418382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4441757267	0.3225531133	0	0
ALL-CHORISMATE-PWY: superpathway of chorismate metabolism	270.2360058694	392.7435306870	172.9559219420	110.9706853981	399.4488703733	166.6355962538	164.9704568307	215.8160072360	214.9422351367	128.5540004264	183.7052464091	222.4909139765	202.0543605696	224.9216703172	211.6262653029	153.9192751064	162.2250977047	186.6799976606	210.5130009632	187.0147964522	238.9931922189	441.1300429159	184.0036357024	109.0121880736	78.1700493558	87.9309717430	147.6479239069	59.6294918909	63.0362498397	109.6956163886	223.2817446859	306.8532534442	146.7822249544	138.5337717598	218.0129494465	154.3201627385	185.1423500521	293.3017072009	400.4880933926	103.6161042215	104.9793719424	39.7760652392	66.3109716906
ALL-CHORISMATE-PWY: superpathway of chorismate metabolism|unclassified	268.7883297797	388.5214304115	172.4288535886	110.9634724843	398.4400195173	166.4991127952	164.2100618819	209.8320851877	213.5656894302	128.0910176493	183.4906937901	222.3248929725	191.3967015146	217.0693682233	199.2735235466	153.1155839310	161.2265164613	186.1925101855	210.3316012816	186.9550130032	238.8933331044	440.6327320925	183.7517715896	108.7415772274	78.1260531740	87.7648090131	147.3637188300	59.5224636302	63.0205940956	108.5497472043	222.3328705319	305.0896270082	145.9968916543	138.0247376046	216.3410301936	151.5975743898	184.9486328960	290.4193167656	397.1424541789	103.2008019205	104.7491097446	39.7319512702	66.1965936402
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	255.8733099299	663.6902453612	407.7568586781	346.7790076188	747.5691302231	226.0878610946	328.9372854069	304.0392704961	388.3677395930	145.8959183774	418.5157125936	170.3602969922	171.4795722528	212.6855302341	312.1301033849	370.7410496956	303.1150661235	241.1051937953	266.2301950638	164.0212843610	195.8216891983	718.0915341093	317.5372531622	343.0617167962	299.8210252145	257.9243129519	323.7368756446	233.8668411893	378.3067572204	332.7351663214	367.5484037523	338.8238636006	159.7775557176	210.0465271738	286.1618775669	133.3024587689	493.7802954352	188.2079877563	505.8844516287	349.8259773791	478.8700175958	243.0756359093	379.3392465426
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast|unclassified	252.1844271137	662.1440949726	404.3087361084	346.7790076188	739.9012756305	226.0878610946	326.2501270840	294.9718600228	385.3331930435	145.8959183774	418.5157125936	170.3602969922	167.6519405693	210.2173948672	301.0513327724	339.1259526838	301.3105649349	241.1051937953	266.2301950638	164.0212843610	195.8216891983	718.0915341093	317.5372531622	343.0617167962	299.8210252145	257.9243129519	323.1265227562	233.3616967948	377.5719114905	331.8004136587	366.9129340677	331.6311809701	159.7775557176	210.0465271738	286.1618775669	131.9175939639	493.7802954352	184.6220188864	501.9354994126	347.2829530174	476.5011566112	242.6340169117	377.1139268451
ANAEROFRUCAT-PWY: homolactic fermentation	2683.6528984111	6255.3084425508	2771.3021834111	2308.3313441631	5286.6467111256	2270.8198071360	2594.0772511371	3003.9555395458	3074.0033214761	2354.0013343583	2784.1592912697	2547.3561900486	2934.5438351400	2254.0488851435	2548.9569430102	3284.7241441799	3774.8887944031	2977.3073251511	2975.0978901306	2166.0383193440	2924.1256057298	6305.4918076812	2362.3861272240	2159.2801864165	2491.6377518554	1980.3631946592	1742.9685439621	1831.1510360740	2354.5860905080	3120.0154790724	3540.5919813768	5400.9858683287	2557.7551558550	2476.7035219297	3730.3388370799	2960.0246784520	3029.8527698113	2946.1300071804	3960.1133935221	1780.2917393134	2387.1273420855	1643.6079565582	2028.4638960979
ANAEROFRUCAT-PWY: homolactic fermentation|g__Nostoc.s__Nostoc_punctiforme	0	0	0	0	0	0	0	0	0	0	0	0	0	3.8315734608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation|unclassified	2645.2517247279	6138.5578460049	2752.4208449612	2308.1028178867	5246.5854681724	2257.1887364068	2558.7636935684	2982.4554851624	3051.5862973469	2349.9555451961	2780.8725109089	2538.3838504798	2914.0170463583	2221.6490868502	2496.8158891661	3172.6025772473	3647.3872419028	2965.4734366113	2959.7269454026	2163.4662958549	2910.6460385810	6294.4853367669	2356.7261384851	2146.6352977025	2476.4810380534	1980.1620740694	1727.7662658547	1817.2426317503	2352.5506658062	3056.9283242793	3450.7282732955	5372.7256737823	2515.3825778685	2460.7220195044	3681.6328447959	2895.9910626074	2991.3198091941	2910.3608000911	3893.0320547239	1770.5343591142	2358.7516512607	1634.4198775080	2009.5232374849
