#random sampling: 66029242
Gene	W89	W193	W12	W21	W169	W79	W164	W209	W4	W53	W113	W100	W149	W250	W10	W183	W32	W231	W128	W111	W154	W173	W91	W16	W48	W69	W105	W64	W226	W215	W157	W189	W139	W196	W117	W123	W26	W28	W74	W234	W43	W38	W85
NR	0	1	2	3	3	0	12	0	0	0	1	1	0	1	1	1	1	0	2	0	0	0	0	5	0	0	0	1	3	1	2	2	0	0	1	0	2	2	0	0	0	1	1
amoA_A	4	20	29	15	33	20	4	2	6	0	97	9	37	1	10	20	0	29	12	9	0	1	1	6	0	9	14	44	0	7	3	12	9	3	8	2	50	0	8	2	2	1	17
amoA_B	0	4	7	22	35	8	2	12	14	0	2	8	2	19	25	18	4	11	8	1	1	2	6	17	6	3	10	3	8	4	10	7	7	1	8	0	3	8	7	5	2	1	21
amoB_A	0	1	1	0	18	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
amoB_B	0	0	5	14	21	5	6	3	3	0	2	0	0	0	4	13	1	1	5	0	0	0	3	5	0	1	4	2	1	0	2	4	0	0	4	0	0	2	4	0	1	0	19
amoC_A	0	1	11	0	14	4	0	0	0	0	27	2	7	1	0	1	0	6	4	1	0	0	2	0	0	1	2	7	0	3	1	0	2	0	2	0	9	0	1	0	1	1	3
amoC_B	0	4	5	34	13	5	20	7	15	0	1	1	4	36	13	36	3	39	6	4	0	2	2	4	0	0	7	20	2	4	2	2	1	0	0	0	6	0	7	25	6	3	2
anfG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ansB	3	0	13	2	52	16	46	4	6	0	1	3	5	5	28	5	70	9	9	3	0	6	9	11	2	7	4	11	2	4	2	3	6	2	3	2	14	0	12	24	3	4	11
asnB	14	54	50	47	107	47	29	63	45	89	72	90	26	27	56	56	103	37	62	28	52	33	47	51	96	135	60	67	19	75	44	74	78	87	113	89	29	138	65	69	98	143	75
asrA	272	111	279	205	143	122	137	93	163	200	150	266	209	60	99	190	137	143	176	207	176	249	164	123	150	124	171	142	208	361	138	153	216	121	150	237	136	182	146	110	293	154	177
cbbL	2319	2123	2253	2230	2670	1706	2530	2120	2727	3208	2166	2725	1890	1687	2306	2916	3146	1784	2172	1885	2342	2365	1786	2291	2973	3136	1989	2192	1813	2447	2702	2874	2686	2628	2176	2693	1683	2870	2467	1863	2652	2364	1882
